Name ,Beds,Bath,sq feet,Image Url
Prime 2876H53P01,5,3,2027,https://www.championhomes.com/models/prime-2876H53P01
Cairo,4,2,2026,https://www.championhomes.com/models/cairo
Flagstone,4,2,2026,https://www.championhomes.com/models/flagstone
Lake Manor 2876H53P01,5,3,2026,https://www.championhomes.com/models/lake-manor-2876H53P01
Lake Manor 2876H43A7D,4,3,2022,https://www.championhomes.com/models/lake-manor-2876H43A7D
Driftwood by Regional Homes,3,2,2016,https://www.championhomes.com/models/driftwood-by-regional-homes
Freedom 3266553,3,2,2002,https://www.championhomes.com/models/freedom-3266553
Juno,4,2,1980,https://www.championhomes.com/models/juno
Home Run 2876322,4,2,1976,https://www.championhomes.com/models/home-run-2876322
Legend 2876526,4,2,1976,https://www.championhomes.com/models/legend-2876526
Cypress Manor,3,2,1941,https://www.championhomes.com/models/cypress-manor
Paris,3,2,1941,https://www.championhomes.com/models/paris
Liberty 3264528,3,2,1941,https://www.championhomes.com/models/liberty-3264528-scotbilt-homes
Mckenna,3,2,1930,https://www.championhomes.com/models/mckenna
Cedarbrooke - C0603B,3,2,1820,https://www.championhomes.com/models/cedarbrooke-c0603b
Cape Town,3,2,1820,https://www.championhomes.com/models/cape-town
Dudley,3,2,1819,https://www.championhomes.com/models/dudley
Riverview 4684A,4,2,1813,https://www.championhomes.com/models/riverview-4684A
Prime 2868H42P01,4,2,1813,https://www.championhomes.com/models/prime-2868H42P01
Crestpointe H4684A,4,2,1813,https://www.championhomes.com/models/crestpointe-h4684a
Grand 261,4,2,1813,https://www.championhomes.com/models/grand-261
Cornerstone,3,2,1813,https://www.championhomes.com/models/cornerstone
RH4684A,4,2,1813,https://www.championhomes.com/models/rh4684a
Lake Manor 2856H42383,4,2,1809,https://www.championhomes.com/models/lake-manor-2856H42383
Lake Manor 2868H42P01,4,3,1809,https://www.championhomes.com/models/lake-manor-2868H42P01
Ascent,4,2,1768,https://www.championhomes.com/models/ascent
Icon 2866 Rockingham,4,2,1716,https://www.championhomes.com/models/icon-2866-rockingham
Cypress Manor 4643A,3,2,1707,https://www.championhomes.com/models/cypress-manor-4643A
Foundation Limited 2864H42LM64,4,2,1707,https://www.championhomes.com/models/foundation-limited-2864H42LM64
Vista Villa,4,2,1707,https://www.championhomes.com/models/vista-villa
Blue Sky,3,2,1707,https://www.championhomes.com/models/blue-sky
Pursuit XL 261,3,2,1699,https://www.championhomes.com/models/pursuit-xl-261
Cypress Manor 0563C,3,2,1699,https://www.championhomes.com/models/cypress-manor-0563C
Providence 3256542 Fortune,3,2,1698,https://www.championhomes.com/models/providence-3256542-fortune
Delashaw,3,2,1685,https://www.championhomes.com/models/delashaw
Utah,3,2,1680,https://www.championhomes.com/models/utah
Luna,3,2,1680,https://www.championhomes.com/models/luna
